League,Year,Decade,RS,RA,RD,W,OBP,SLG,BA,Playoffs,G,OOBP,OSLG
0,1985,1980,757,787,-30,77,0.325,0.401,0.264,0,162,,
1,1985,1980,667,673,-6,75,0.312,0.383,0.245,0,162,,
1,1985,1980,568,708,-140,57,0.311,0.347,0.247,0,161,,
1,1985,1980,650,622,28,83,0.32,0.368,0.255,0,162,,
0,1985,1980,719,818,-99,74,0.326,0.412,0.255,0,162,,
1,1985,1980,556,674,-118,62,0.299,0.348,0.233,0,162,,
1,1985,1980,747,572,175,101,0.335,0.379,0.264,1,162,,
0,1985,1980,617,785,-168,62,0.322,0.381,0.253,0,161,,
0,1985,1980,759,588,171,99,0.331,0.425,0.269,1,161,,
1,1984,1980,632,655,-23,80,0.317,0.361,0.247,0,162,,
0,1984,1980,681,667,14,85,0.328,0.391,0.252,0,162,,
0,1984,1980,810,764,46,86,0.341,0.441,0.283,0,162,,
0,1984,1980,696,697,-1,81,0.319,0.381,0.249,0,162,,
1,1984,1980,762,658,104,96,0.331,0.397,0.26,1,161,,
0,1984,1980,679,736,-57,74,0.314,0.395,0.247,0,162,,
1,1984,1980,627,747,-120,70,0.313,0.356,0.244,0,162,,
0,1984,1980,761,766,-5,75,0.335,0.384,0.265,0,163,,
0,1984,1980,829,643,186,104,0.342,0.432,0.271,1,162,,
1,1984,1980,693,630,63,80,0.323,0.371,0.264,0,162,,
0,1984,1980,673,686,-13,84,0.317,0.399,0.268,1,162,,
1,1984,1980,580,600,-20,79,0.306,0.348,0.244,0,162,,
0,1984,1980,641,734,-93,67,0.317,0.37,0.262,0,161,,
0,1984,1980,673,675,-2,81,0.318,0.385,0.265,0,162,,
1,1984,1980,593,585,8,78,0.312,0.362,0.251,0,161,,
1,1984,1980,652,676,-24,90,0.32,0.369,0.257,0,162,,
0,1984,1980,758,679,79,87,0.339,0.404,0.276,0,162,,
0,1984,1980,738,796,-58,77,0.327,0.404,0.259,0,162,,
1,1984,1980,720,690,30,81,0.333,0.407,0.266,0,162,,
1,1984,1980,615,567,48,75,0.31,0.363,0.255,0,162,,
1,1984,1980,686,634,52,92,0.317,0.371,0.259,1,162,,
0,1984,1980,682,774,-92,74,0.324,0.384,0.258,0,162,,
1,1984,1980,682,807,-125,66,0.328,0.375,0.265,0,162,,
1,1984,1980,652,645,7,84,0.317,0.351,0.252,0,162,,
0,1984,1980,656,714,-58,69,0.313,0.377,0.261,0,161,,
0,1984,1980,750,696,54,89,0.331,0.421,0.273,0,163,,
1,1983,1980,746,640,106,88,0.341,0.4,0.272,0,162,,
0,1983,1980,799,652,147,98,0.34,0.421,0.269,1,162,,
0,1983,1980,724,775,-51,78,0.335,0.409,0.27,0,162,,
0,1983,1980,722,779,-57,70,0.322,0.393,0.26,0,162,,
1,1983,1980,701,719,-18,71,0.319,0.401,0.261,0,162,,
0,1983,1980,800,650,150,99,0.329,0.413,0.262,1,162,,
1,1983,1980,623,710,-87,74,0.314,0.356,0.239,0,162,,
0,1983,1980,704,785,-81,70,0.338,0.369,0.265,0,162,,
0,1983,1980,789,679,110,92,0.335,0.427,0.274,0,162,,
1,1983,1980,643,646,-3,85,0.32,0.375,0.257,0,162,,
0,1983,1980,696,767,-71,79,0.32,0.397,0.271,0,163,,
1,1983,1980,654,609,45,91,0.318,0.379,0.25,1,163,,
0,1983,1980,764,708,56,87,0.333,0.418,0.277,0,162,,
0,1983,1980,709,822,-113,70,0.319,0.401,0.261,0,162,,
1,1983,1980,677,646,31,82,0.326,0.386,0.264,0,163,,
1,1983,1980,575,680,-105,68,0.3,0.344,0.241,0,162,,
0,1983,1980,770,703,67,91,0.337,0.416,0.273,0,162,,
0,1983,1980,708,782,-74,74,0.326,0.381,0.262,0,162,,
1,1983,1980,696,635,61,90,0.329,0.373,0.249,1,163,,
1,1983,1980,659,648,11,84,0.325,0.383,0.264,0,162,,
1,1983,1980,653,653,0,81,0.311,0.351,0.25,0,163,,
0,1983,1980,558,740,-182,60,0.301,0.36,0.24,0,162,,
1,1983,1980,687,697,-10,79,0.325,0.375,0.247,0,162,,
1,1983,1980,679,710,-31,79,0.335,0.384,0.27,0,162,,
0,1983,1980,639,609,30,77,0.31,0.366,0.255,0,163,,
0,1983,1980,795,726,69,89,0.338,0.436,0.277,0,162,,
1,1982,1980,739,702,37,89,0.325,0.383,0.256,1,162,,
0,1982,1980,774,687,87,94,0.341,0.419,0.266,0,163,,
0,1982,1980,753,713,40,89,0.34,0.407,0.274,0,162,,
0,1982,1980,814,670,144,93,0.347,0.433,0.274,1,162,,
1,1982,1980,676,709,-33,73,0.317,0.375,0.26,0,162,,
0,1982,1980,786,710,76,87,0.337,0.413,0.273,0,162,,
1,1982,1980,545,661,-116,61,0.31,0.35,0.251,0,162,,
0,1982,1980,683,748,-65,78,0.341,0.373,0.262,0,162,,
0,1982,1980,729,685,44,83,0.324,0.418,0.266,0,162,,
1,1982,1980,569,620,-51,77,0.302,0.349,0.247,0,162,,
0,1982,1980,784,717,67,90,0.337,0.428,0.285,0,162,,
1,1982,1980,691,612,79,88,0.327,0.388,0.264,0,162,,
0,1982,1980,891,717,174,95,0.335,0.455,0.279,1,163,,
0,1982,1980,657,819,-162,60,0.316,0.396,0.257,0,162,,
1,1982,1980,697,616,81,86,0.325,0.396,0.262,0,162,,
1,1982,1980,609,723,-114,65,0.305,0.35,0.247,0,162,,
0,1982,1980,709,716,-7,79,0.328,0.398,0.256,0,162,,
0,1982,1980,691,819,-128,68,0.309,0.367,0.236,0,162,,
1,1982,1980,664,654,10,89,0.323,0.376,0.26,0,162,,
1,1982,1980,724,696,28,84,0.327,0.408,0.273,0,162,,
1,1982,1980,675,658,17,81,0.311,0.359,0.257,0,162,,
0,1982,1980,651,712,-61,76,0.311,0.381,0.254,0,162,,
1,1982,1980,673,687,-14,87,0.327,0.376,0.253,0,162,,
1,1982,1980,685,609,76,92,0.334,0.364,0.264,1,162,,
0,1982,1980,590,749,-159,64,0.308,0.359,0.249,0,162,,
0,1982,1980,651,701,-50,78,0.314,0.383,0.262,0,162,,
1,1980,1980,630,660,-30,81,0.307,0.38,0.25,0,161,,
0,1980,1980,805,640,165,100,0.342,0.413,0.273,0,162,,
0,1980,1980,757,767,-10,83,0.34,0.436,0.283,0,160,,
0,1980,1980,698,797,-99,65,0.332,0.378,0.265,0,160,,
1,1980,1980,614,728,-114,64,0.309,0.365,0.251,0,162,,
0,1980,1980,587,722,-135,70,0.311,0.37,0.259,0,162,,
1,1980,1980,707,670,37,89,0.327,0.386,0.262,0,163,,
0,1980,1980,738,807,-69,79,0.35,0.381,0.277,0,160,,
0,1980,1980,830,757,73,84,0.348,0.409,0.273,0,163,,
1,1980,1980,637,589,48,93,0.326,0.367,0.261,1,163,,
0,1980,1980,809,694,115,97,0.345,0.413,0.286,1,162,,
1,1980,1980,663,591,72,92,0.323,0.388,0.263,0,163,,
0,1980,1980,811,682,129,86,0.329,0.448,0.275,0,162,,
0,1980,1980,670,724,-54,77,0.319,0.381,0.265,0,161,,
1,1980,1980,694,629,65,90,0.324,0.388,0.257,0,162,,
1,1980,1980,611,702,-91,67,0.319,0.345,0.257,0,162,,
0,1980,1980,820,662,158,103,0.343,0.425,0.267,1,162,,
0,1980,1980,686,642,44,83,0.322,0.385,0.259,0,162,,
1,1980,1980,728,639,89,91,0.327,0.4,0.27,1,162,,
1,1980,1980,666,646,20,83,0.322,0.388,0.266,0,162,,
1,1980,1980,591,654,-63,73,0.324,0.342,0.255,0,163,,
0,1980,1980,610,793,-183,59,0.308,0.356,0.248,0,163,,
1,1980,1980,573,634,-61,75,0.308,0.342,0.244,0,161,,
1,1980,1980,738,710,28,74,0.328,0.4,0.275,0,162,,
0,1980,1980,756,752,4,76,0.339,0.405,0.284,0,163,,
0,1980,1980,624,762,-138,67,0.309,0.383,0.251,0,162,,
1,1979,1970,669,763,-94,66,0.318,0.377,0.256,0,160,,
0,1979,1970,757,582,175,102,0.336,0.419,0.261,1,159,,
0,1979,1970,841,711,130,91,0.344,0.456,0.283,0,160,,
0,1979,1970,866,768,98,88,0.351,0.429,0.282,1,162,,
1,1979,1970,706,707,-1,80,0.329,0.403,0.269,0,162,,
0,1979,1970,730,748,-18,73,0.333,0.41,0.275,0,160,,
1,1979,1970,731,644,87,90,0.338,0.396,0.264,1,161,,
0,1979,1970,760,805,-45,81,0.34,0.384,0.258,0,161,,
0,1979,1970,770,738,32,84,0.339,0.415,0.269,0,161,,
1,1979,1970,583,582,1,89,0.315,0.344,0.256,0,162,,
0,1979,1970,851,816,35,85,0.343,0.422,0.282,0,162,,
1,1979,1970,739,717,22,79,0.331,0.412,0.263,0,162,,
0,1979,1970,807,722,85,95,0.345,0.448,0.28,0,161,,
0,1979,1970,764,725,39,82,0.341,0.402,0.278,0,162,,
1,1979,1970,701,581,120,95,0.319,0.408,0.264,0,160,,
1,1979,1970,593,706,-113,63,0.313,0.35,0.25,0,163,,
0,1979,1970,734,672,62,89,0.328,0.406,0.266,0,160,,
0,1979,1970,573,860,-287,54,0.302,0.346,0.239,0,162,,
1,1979,1970,683,718,-35,84,0.34,0.396,0.266,0,163,,
1,1979,1970,775,643,132,98,0.33,0.416,0.272,1,163,,
1,1979,1970,603,681,-78,68,0.311,0.348,0.242,0,161,,
0,1979,1970,711,820,-109,67,0.331,0.404,0.269,0,162,,
1,1979,1970,672,751,-79,71,0.319,0.365,0.246,0,162,,
1,1979,1970,731,693,38,86,0.331,0.401,0.278,0,163,,
0,1979,1970,750,698,52,83,0.334,0.409,0.278,0,162,,
0,1979,1970,613,862,-249,53,0.311,0.363,0.251,0,162,,
1,1978,1970,600,750,-150,69,0.315,0.363,0.244,0,162,,
0,1978,1970,659,633,26,90,0.326,0.396,0.258,0,161,,
0,1978,1970,796,657,139,99,0.336,0.424,0.267,0,163,,
0,1978,1970,691,666,25,87,0.33,0.37,0.259,0,162,,
1,1978,1970,664,724,-60,79,0.331,0.361,0.264,0,162,,
0,1978,1970,634,731,-97,71,0.317,0.379,0.264,0,161,,
1,1978,1970,710,688,22,92,0.334,0.393,0.256,0,161,,
0,1978,1970,639,694,-55,69,0.323,0.379,0.261,0,159,,
0,1978,1970,714,653,61,86,0.339,0.392,0.271,0,162,,
1,1978,1970,605,634,-29,74,0.313,0.355,0.258,0,162,,
0,1978,1970,743,634,109,92,0.329,0.399,0.268,1,162,,
1,1978,1970,727,573,154,95,0.338,0.402,0.264,1,162,,
0,1978,1970,804,650,154,93,0.339,0.432,0.276,0,162,,
0,1978,1970,666,678,-12,73,0.339,0.375,0.267,0,162,,
1,1978,1970,633,611,22,76,0.306,0.379,0.254,0,162,,
1,1978,1970,607,690,-83,66,0.314,0.352,0.245,0,162,,
0,1978,1970,735,582,153,100,0.329,0.388,0.267,1,163,,
0,1978,1970,532,690,-158,69,0.303,0.351,0.245,0,162,,
1,1978,1970,708,586,122,90,0.328,0.388,0.258,1,162,,
1,1978,1970,684,637,47,88,0.32,0.385,0.257,0,161,,
1,1978,1970,591,598,-7,84,0.321,0.348,0.252,0,162,,
0,1978,1970,614,834,-220,56,0.314,0.359,0.248,0,160,,
1,1978,1970,613,594,19,89,0.318,0.374,0.248,0,162,,
1,1978,1970,600,657,-57,69,0.303,0.358,0.249,0,162,,
0,1978,1970,692,632,60,87,0.332,0.381,0.253,0,162,,
0,1978,1970,590,775,-185,59,0.308,0.359,0.25,0,161,,
1,1977,1970,678,895,-217,61,0.32,0.376,0.254,0,162,,
0,1977,1970,719,653,66,97,0.329,0.393,0.261,0,161,,
0,1977,1970,859,712,147,97,0.345,0.465,0.281,0,161,,
0,1977,1970,675,695,-20,74,0.324,0.386,0.255,0,162,,
1,1977,1970,692,739,-47,81,0.33,0.387,0.266,0,162,,
0,1977,1970,844,771,73,90,0.344,0.444,0.278,0,162,,
1,1977,1970,802,725,77,88,0.345,0.436,0.274,0,162,,
0,1977,1970,676,739,-63,71,0.334,0.38,0.269,0,161,,
0,1977,1970,714,751,-37,74,0.318,0.41,0.264,0,162,,
1,1977,1970,680,650,30,81,0.32,0.385,0.254,0,162,,
0,1977,1970,822,651,171,102,0.34,0.436,0.277,1,162,,
1,1977,1970,769,582,187,98,0.336,0.418,0.266,1,162,,
0,1977,1970,639,765,-126,67,0.314,0.389,0.258,0,162,,
0,1977,1970,867,776,91,84,0.348,0.417,0.282,0,161,,
1,1977,1970,665,736,-71,75,0.318,0.402,0.26,0,162,,
1,1977,1970,587,663,-76,64,0.313,0.346,0.244,0,162,,
0,1977,1970,831,651,180,100,0.344,0.444,0.281,1,162,,
0,1977,1970,605,749,-144,63,0.308,0.352,0.24,0,161,,
1,1977,1970,847,668,179,101,0.346,0.448,0.279,1,162,,
1,1977,1970,734,665,69,96,0.331,0.413,0.274,0,162,,
1,1977,1970,692,834,-142,69,0.324,0.375,0.249,0,162,,
0,1977,1970,624,855,-231,64,0.312,0.381,0.256,0,162,,
1,1977,1970,673,711,-38,75,0.323,0.383,0.253,0,162,,
1,1977,1970,737,688,49,83,0.33,0.388,0.27,0,162,,
0,1977,1970,767,657,110,94,0.342,0.405,0.27,0,162,,
0,1977,1970,605,822,-217,54,0.316,0.365,0.252,0,161,,
1,1976,1970,620,700,-80,70,0.32,0.334,0.245,0,162,,
0,1976,1970,619,598,21,88,0.31,0.358,0.243,0,162,,
0,1976,1970,716,660,56,83,0.324,0.402,0.263,0,162,,
0,1976,1970,550,631,-81,76,0.306,0.318,0.235,0,162,,
1,1976,1970,611,728,-117,75,0.313,0.356,0.251,0,162,,
0,1976,1970,586,745,-159,64,0.314,0.349,0.255,0,161,,
1,1976,1970,857,633,224,102,0.357,0.424,0.28,1,162,,
0,1976,1970,615,615,0,81,0.321,0.359,0.263,0,159,,
0,1976,1970,609,709,-100,74,0.315,0.365,0.257,0,161,,
1,1976,1970,625,657,-32,80,0.322,0.347,0.256,0,162,,
0,1976,1970,713,611,102,90,0.327,0.371,0.269,1,162,,
1,1976,1970,608,543,65,92,0.313,0.349,0.251,0,162,,
0,1976,1970,570,655,-85,66,0.311,0.34,0.246,0,161,,
0,1976,1970,743,704,39,85,0.341,0.375,0.274,0,162,,
1,1976,1970,531,734,-203,55,0.291,0.34,0.235,0,162,,
1,1976,1970,615,538,77,86,0.319,0.352,0.246,0,162,,
0,1976,1970,730,575,155,97,0.328,0.389,0.269,1,159,,
0,1976,1970,686,598,88,87,0.323,0.361,0.246,0,161,,
1,1976,1970,770,557,213,101,0.338,0.395,0.272,1,162,,
1,1976,1970,708,630,78,92,0.321,0.391,0.267,0,162,,
1,1976,1970,570,662,-92,73,0.31,0.337,0.247,0,162,,
1,1976,1970,595,686,-91,74,0.312,0.345,0.246,0,162,,
1,1976,1970,629,671,-42,72,0.323,0.359,0.26,0,162,,
0,1976,1970,616,652,-36,76,0.321,0.341,0.25,0,162,,
1,1975,1970,583,739,-156,67,0.313,0.346,0.244,0,161,,
0,1975,1970,682,553,129,90,0.326,0.373,0.252,0,159,,
0,1975,1970,796,709,87,95,0.344,0.417,0.275,1,160,,
0,1975,1970,628,723,-95,72,0.322,0.328,0.246,0,161,,
1,1975,1970,712,827,-115,75,0.338,0.368,0.259,0,162,,
0,1975,1970,655,703,-48,75,0.331,0.358,0.255,0,161,,
1,1975,1970,840,586,254,108,0.353,0.401,0.271,1,162,,
0,1975,1970,688,703,-15,79,0.327,0.392,0.261,0,159,,
0,1975,1970,570,786,-216,57,0.301,0.366,0.249,0,159,,
1,1975,1970,664,711,-47,64,0.32,0.359,0.254,0,162,,
0,1975,1970,710,649,61,91,0.333,0.394,0.261,0,162,,
1,1975,1970,648,534,114,88,0.325,0.365,0.248,0,162,,
0,1975,1970,675,792,-117,68,0.32,0.389,0.25,0,162,,
0,1975,1970,724,736,-12,76,0.341,0.386,0.271,0,159,,
1,1975,1970,601,690,-89,75,0.317,0.348,0.244,0,162,,
1,1975,1970,646,625,21,82,0.319,0.361,0.256,0,162,,
0,1975,1970,681,588,93,83,0.325,0.382,0.264,0,160,,
0,1975,1970,758,606,152,98,0.333,0.391,0.254,1,162,,
1,1975,1970,735,694,41,86,0.342,0.402,0.269,0,162,,
1,1975,1970,712,565,147,92,0.323,0.402,0.263,1,161,,
1,1975,1970,552,683,-131,71,0.31,0.335,0.244,0,162,,
1,1975,1970,659,671,-12,80,0.333,0.365,0.259,0,161,,
1,1975,1970,662,689,-27,82,0.327,0.375,0.273,0,163,,
0,1975,1970,714,733,-19,79,0.33,0.371,0.256,0,162,,
1,1974,1970,661,563,98,88,0.319,0.363,0.249,0,163,,
0,1974,1970,659,612,47,91,0.322,0.37,0.256,1,162,,
0,1974,1970,696,661,35,84,0.333,0.377,0.264,0,162,,
0,1974,1970,618,657,-39,68,0.321,0.356,0.254,0,163,,
1,1974,1970,669,826,-157,66,0.327,0.365,0.251,0,162,,
0,1974,1970,684,721,-37,80,0.33,0.389,0.268,0,163,,
1,1974,1970,776,631,145,98,0.343,0.394,0.26,0,163,,
0,1974,1970,662,694,-32,77,0.311,0.37,0.255,0,162,,
0,1974,1970,620,768,-148,72,0.303,0.366,0.247,0,162,,
1,1974,1970,653,632,21,81,0.322,0.378,0.263,0,162,,
0,1974,1970,667,662,5,77,0.327,0.364,0.259,0,162,,
1,1974,1970,798,561,237,102,0.342,0.401,0.272,1,162,,
0,1974,1970,647,660,-13,76,0.309,0.369,0.244,0,162,,
0,1974,1970,673,669,4,82,0.336,0.378,0.272,0,163,,
1,1974,1970,662,657,5,79,0.335,0.35,0.254,0,161,,
1,1974,1970,572,646,-74,71,0.311,0.329,0.235,0,162,,
0,1974,1970,671,623,48,89,0.324,0.368,0.263,0,162,,
0,1974,1970,689,551,138,90,0.321,0.373,0.247,1,162,,
1,1974,1970,676,701,-25,80,0.32,0.373,0.261,0,162,,
1,1974,1970,751,657,94,88,0.335,0.391,0.274,1,162,,
1,1974,1970,541,830,-289,60,0.302,0.33,0.229,0,162,,
1,1974,1970,634,723,-89,72,0.322,0.358,0.252,0,162,,
1,1974,1970,677,643,34,86,0.331,0.365,0.265,0,161,,
0,1974,1970,690,698,-8,83,0.336,0.377,0.272,0,161,,
1,1973,1970,799,774,25,76,0.339,0.427,0.266,0,162,,
0,1973,1970,754,561,193,97,0.345,0.389,0.266,1,162,,
0,1973,1970,738,647,91,89,0.338,0.401,0.267,0,162,,
0,1973,1970,629,657,-28,79,0.318,0.348,0.253,0,162,,
1,1973,1970,614,655,-41,77,0.32,0.357,0.247,0,161,,
0,1973,1970,652,705,-53,77,0.324,0.372,0.256,0,162,,
1,1973,1970,741,621,120,99,0.332,0.383,0.254,1,162,,
0,1973,1970,680,826,-146,71,0.315,0.387,0.256,0,162,,
0,1973,1970,642,674,-32,85,0.32,0.39,0.254,0,162,,
1,1973,1970,681,672,9,82,0.312,0.376,0.251,0,162,,
0,1973,1970,755,752,3,88,0.339,0.381,0.261,0,162,,
1,1973,1970,675,565,110,95,0.323,0.371,0.263,0,162,,
0,1973,1970,708,731,-23,74,0.325,0.388,0.253,0,162,,
0,1973,1970,738,692,46,81,0.342,0.393,0.27,0,162,,
1,1973,1970,668,702,-34,79,0.34,0.364,0.251,0,162,,
1,1973,1970,608,588,20,82,0.315,0.338,0.246,1,161,,
0,1973,1970,641,610,31,80,0.322,0.378,0.261,0,162,,
0,1973,1970,758,615,143,94,0.333,0.389,0.26,1,162,,
1,1973,1970,642,717,-75,71,0.31,0.371,0.249,0,162,,
1,1973,1970,704,693,11,80,0.315,0.405,0.261,0,162,,
1,1973,1970,548,770,-222,60,0.296,0.351,0.244,0,162,,
1,1973,1970,739,702,37,88,0.335,0.407,0.262,0,162,,
1,1973,1970,643,603,40,81,0.325,0.357,0.259,0,162,,
0,1973,1970,619,844,-225,57,0.318,0.361,0.255,0,162,,
1,1971,1970,643,699,-56,82,0.312,0.385,0.257,0,162,,
0,1971,1970,742,530,212,101,0.347,0.398,0.261,1,158,,
0,1971,1970,691,667,24,85,0.322,0.397,0.252,0,162,,
0,1971,1970,511,576,-65,76,0.29,0.329,0.231,0,162,,
1,1971,1970,637,648,-11,83,0.325,0.378,0.258,0,162,,
0,1971,1970,617,597,20,79,0.325,0.373,0.25,0,162,,
1,1971,1970,586,581,5,79,0.3,0.366,0.241,0,162,,
0,1971,1970,543,747,-204,60,0.3,0.342,0.238,0,162,,
0,1971,1970,701,645,56,91,0.325,0.405,0.254,0,162,,
1,1971,1970,585,567,18,79,0.302,0.34,0.24,0,162,,
0,1971,1970,603,566,37,85,0.313,0.353,0.25,0,161,,
1,1971,1970,663,587,76,89,0.325,0.37,0.266,0,162,,
0,1971,1970,534,609,-75,69,0.304,0.329,0.229,0,161,,
0,1971,1970,654,670,-16,74,0.323,0.372,0.26,0,160,,
1,1971,1970,622,729,-107,71,0.322,0.343,0.246,0,162,,
1,1971,1970,588,550,38,83,0.319,0.351,0.249,0,162,,
0,1971,1970,648,641,7,81,0.328,0.36,0.254,0,162,,
0,1971,1970,691,564,127,101,0.321,0.384,0.252,1,161,,
1,1971,1970,558,688,-130,67,0.298,0.35,0.233,0,162,,
1,1971,1970,788,599,189,97,0.33,0.416,0.274,1,162,,
1,1971,1970,486,610,-124,61,0.293,0.332,0.233,0,161,,
1,1971,1970,706,644,62,90,0.329,0.378,0.247,1,162,,
1,1971,1970,739,699,40,90,0.338,0.385,0.275,0,163,,
0,1971,1970,537,660,-123,63,0.307,0.326,0.23,0,159,,
1,1970,1970,736,772,-36,76,0.334,0.404,0.27,0,162,,
0,1970,1970,792,574,218,108,0.344,0.401,0.257,1,162,,
0,1970,1970,786,722,64,87,0.335,0.428,0.262,0,162,,
0,1970,1970,631,630,1,86,0.309,0.363,0.251,0,162,,
1,1970,1970,806,679,127,84,0.333,0.415,0.259,0,162,,
0,1970,1970,633,822,-189,56,0.315,0.362,0.253,0,162,,
1,1970,1970,775,681,94,102,0.336,0.436,0.27,1,162,,
0,1970,1970,649,675,-26,76,0.314,0.394,0.249,0,162,,
0,1970,1970,666,731,-65,79,0.322,0.374,0.238,0,162,,
1,1970,1970,744,763,-19,79,0.332,0.391,0.259,0,162,,
0,1970,1970,611,705,-94,65,0.309,0.348,0.244,0,162,,
1,1970,1970,749,684,65,87,0.334,0.382,0.27,0,161,,
0,1970,1970,613,751,-138,65,0.319,0.358,0.242,0,163,,
0,1970,1970,744,605,139,98,0.327,0.403,0.262,1,162,,
1,1970,1970,687,807,-120,73,0.323,0.365,0.237,0,162,,
1,1970,1970,695,630,65,83,0.333,0.37,0.249,0,162,,
0,1970,1970,680,612,68,93,0.324,0.365,0.251,0,163,,
0,1970,1970,678,593,85,89,0.325,0.392,0.249,0,162,,
1,1970,1970,594,730,-136,73,0.305,0.356,0.238,0,161,,
1,1970,1970,729,664,65,89,0.325,0.406,0.27,1,162,,
1,1970,1970,681,788,-107,63,0.312,0.391,0.246,0,162,,
1,1970,1970,831,826,5,86,0.351,0.409,0.262,0,162,,
1,1970,1970,744,747,-3,76,0.331,0.379,0.263,0,162,,
0,1970,1970,626,689,-63,70,0.321,0.358,0.238,0,162,,
1,1969,1960,691,631,60,93,0.321,0.38,0.258,1,162,,
0,1969,1960,779,517,262,109,0.343,0.414,0.265,1,162,,
0,1969,1960,743,736,7,87,0.333,0.415,0.251,0,162,,
0,1969,1960,528,652,-124,71,0.3,0.319,0.23,0,163,,
1,1969,1960,720,611,109,92,0.323,0.384,0.253,0,163,,
0,1969,1960,625,723,-98,68,0.32,0.357,0.247,0,162,,
1,1969,1960,798,768,30,89,0.335,0.422,0.277,0,163,,
0,1969,1960,573,717,-144,62,0.307,0.345,0.237,0,161,,
0,1969,1960,701,601,100,90,0.316,0.387,0.242,0,162,,
1,1969,1960,676,668,8,81,0.33,0.352,0.24,0,162,,
0,1969,1960,586,688,-102,69,0.309,0.338,0.24,0,163,,
1,1969,1960,645,561,84,85,0.315,0.359,0.254,0,162,,
0,1969,1960,790,618,172,97,0.34,0.408,0.268,1,162,,
1,1969,1960,582,791,-209,52,0.31,0.359,0.24,0,162,,
1,1969,1960,632,541,91,100,0.311,0.351,0.242,1,162,,
0,1969,1960,562,587,-25,80,0.308,0.344,0.235,0,162,,
0,1969,1960,740,678,62,88,0.329,0.376,0.249,0,162,,
1,1969,1960,645,745,-100,63,0.312,0.372,0.241,0,162,,
1,1969,1960,725,652,73,88,0.334,0.398,0.277,0,162,,
1,1969,1960,468,746,-278,52,0.285,0.329,0.225,0,162,,
0,1969,1960,639,799,-160,64,0.316,0.346,0.234,0,163,,
1,1969,1960,713,636,77,90,0.334,0.361,0.242,0,162,,
1,1969,1960,595,540,55,87,0.316,0.359,0.253,0,162,,
0,1969,1960,694,644,50,86,0.33,0.378,0.251,0,162,,
1,1968,1960,514,549,-35,81,0.307,0.339,0.252,0,163,,
0,1968,1960,579,497,82,91,0.304,0.352,0.225,0,162,,
0,1968,1960,614,611,3,86,0.313,0.352,0.236,0,162,,
0,1968,1960,498,615,-117,67,0.291,0.318,0.227,0,162,,
1,1968,1960,612,611,1,84,0.298,0.366,0.242,0,163,,
0,1968,1960,463,527,-64,67,0.284,0.311,0.228,0,162,,
1,1968,1960,690,673,17,83,0.32,0.389,0.273,0,163,,
0,1968,1960,516,504,12,86,0.293,0.327,0.234,0,162,,
0,1968,1960,671,492,179,103,0.307,0.385,0.235,1,164,,
1,1968,1960,510,588,-78,72,0.298,0.317,0.231,0,162,,
1,1968,1960,470,509,-39,76,0.289,0.319,0.23,0,162,,
0,1968,1960,562,546,16,79,0.299,0.35,0.237,0,162,,
1,1968,1960,473,499,-26,73,0.281,0.315,0.228,0,163,,
0,1968,1960,536,531,5,83,0.292,0.318,0.214,0,164,,
0,1968,1960,569,544,25,82,0.304,0.343,0.24,0,163,,
1,1968,1960,543,615,-72,76,0.294,0.333,0.233,0,162,,
1,1968,1960,583,532,51,80,0.306,0.343,0.252,0,163,,
1,1968,1960,599,529,70,88,0.307,0.341,0.239,0,163,,
1,1968,1960,583,472,111,97,0.298,0.346,0.249,1,162,,
0,1968,1960,524,665,-141,65,0.287,0.336,0.224,0,161,,
1,1967,1960,631,640,-9,77,0.307,0.372,0.24,0,162,,
0,1967,1960,654,592,62,76,0.31,0.372,0.24,0,161,,
0,1967,1960,722,614,108,92,0.321,0.395,0.255,1,162,,
0,1967,1960,567,587,-20,84,0.301,0.349,0.238,0,161,,
1,1967,1960,702,624,78,87,0.316,0.378,0.251,0,162,,
0,1967,1960,531,491,40,89,0.291,0.32,0.225,0,162,,
1,1967,1960,604,563,41,87,0.297,0.372,0.248,0,162,,
0,1967,1960,559,613,-54,75,0.293,0.359,0.235,0,162,,
0,1967,1960,683,587,96,91,0.325,0.376,0.243,0,163,,
1,1967,1960,626,742,-116,69,0.317,0.364,0.249,0,162,,
0,1967,1960,533,660,-127,62,0.296,0.33,0.233,0,161,,
1,1967,1960,519,595,-76,73,0.301,0.332,0.236,0,162,,
0,1967,1960,671,590,81,91,0.309,0.369,0.24,0,164,,
1,1967,1960,498,672,-174,61,0.288,0.325,0.238,0,162,,
0,1967,1960,522,621,-99,72,0.296,0.317,0.225,0,163,,
1,1967,1960,612,581,31,82,0.313,0.357,0.242,0,162,,
1,1967,1960,679,693,-14,81,0.324,0.38,0.277,0,163,,
1,1967,1960,652,551,101,91,0.313,0.372,0.245,0,162,,
1,1967,1960,695,557,138,101,0.32,0.379,0.263,1,161,,
0,1967,1960,550,637,-87,76,0.288,0.326,0.223,0,161,,
1,1966,1960,782,683,99,85,0.326,0.424,0.263,0,163,,
0,1966,1960,755,601,154,97,0.324,0.409,0.258,1,160,,
0,1966,1960,655,731,-76,72,0.31,0.376,0.24,0,162,,
0,1966,1960,604,643,-39,80,0.303,0.354,0.232,0,162,,
1,1966,1960,644,809,-165,59,0.313,0.38,0.254,0,162,,
